Date,P/E,P/B,Div Yield %,Close,Previous Returns,Returns
22-Dec-21,23.39,4.24,1.22,16955.45,0.94,1.09
23-Dec-21,23.55,4.27,1.22,17072.6,1.09,0.69
24-Dec-21,23.45,4.26,1.22,17003.75,0.69,-0.4
27-Dec-21,23.57,4.28,1.21,17086.25,-0.4,0.48
28-Dec-21,23.77,4.31,1.2,17233.25,0.48,0.86
29-Dec-21,23.74,4.31,1.21,17213.6,0.86,-0.11
30-Dec-21,23.73,4.31,1.21,17203.95,-0.11,-0.06
31-Dec-21,24.11,4.37,1.19,17354.05,-0.06,0.87
03-Jan-22,24.49,4.44,1.17,17625.7,0.87,1.55
04-Jan-22,24.74,4.49,1.16,17805.25,1.55,1.01
05-Jan-22,24.91,4.52,1.15,17925.25,1.01,0.67
06-Jan-22,24.66,4.47,1.16,17745.9,0.67,-1.01
07-Jan-22,24.75,4.49,1.16,17812.7,-1.01,0.38
10-Jan-22,25.01,4.54,1.14,18003.3,0.38,1.06
11-Jan-22,25.09,4.55,1.14,18055.75,1.06,0.29
12-Jan-22,25.3,4.59,1.13,18212.35,0.29,0.86
13-Jan-22,25.37,4.6,1.13,18257.8,0.86,0.25
14-Jan-22,25.3,4.6,1.12,18255.75,0.25,-0.01
17-Jan-22,25.37,4.61,1.12,18308.1,-0.01,0.29
18-Jan-22,25,4.56,1.13,18113.05,0.29,-1.07
19-Jan-22,24.76,4.52,1.15,17938.4,-1.07,-0.97
20-Jan-22,24.47,4.47,1.18,17757,-0.97,-1.02
21-Jan-22,24.29,4.44,1.18,17617.15,-1.02,-0.79
24-Jan-22,23.63,4.32,1.21,17149.1,-0.79,-2.69
25-Jan-22,23.47,4.35,1.2,17277.95,-2.69,0.75
27-Jan-22,23.09,4.31,1.21,17110.15,0.75,-0.98
28-Jan-22,23.1,4.31,1.21,17101.95,-0.98,-0.05
31-Jan-22,23.42,4.37,1.2,17339.85,-0.05,1.38
01-Feb-22,23.62,4.43,1.18,17576.85,1.38,1.36
02-Feb-22,23.95,4.48,1.17,17780,1.36,1.15
03-Feb-22,23.65,4.42,1.21,17560.2,1.15,-1.24
04-Feb-22,23.56,4.41,1.21,17516.3,-1.24,-0.25
07-Feb-22,23.11,4.34,1.23,17213.6,-0.25,-1.74
08-Feb-22,22.83,4.35,1.23,17266.75,-1.74,0.31
09-Feb-22,23.09,4.4,1.2,17463.8,0.31,1.13
10-Feb-22,22.98,4.44,1.2,17605.85,1.13,0.81
11-Feb-22,22.68,4.38,1.2,17374.75,0.81,-1.32
14-Feb-22,21.85,4.24,1.3,16842.8,-1.32,-3.11
15-Feb-22,22.36,4.37,1.25,17352.45,-3.11,2.98
16-Feb-22,22.27,4.36,1.28,17322.2,2.98,-0.17
17-Feb-22,22.25,4.36,1.25,17304.6,-0.17,-0.1
18-Feb-22,22.21,4.35,1.25,17276.3,-0.1,-0.16
21-Feb-22,22.12,4.34,1.29,17206.65,-0.16,-0.4
22-Feb-22,21.97,4.31,1.24,17092.2,-0.4,-0.67
23-Feb-22,21.94,4.3,1.24,17063.25,-0.67,-0.17
24-Feb-22,20.89,4.09,1.3,16247.95,-0.17,-4.9
25-Feb-22,21.42,4.2,1.27,16658.4,-4.9,2.49
28-Feb-22,21.59,4.23,1.26,16793.9,2.49,0.81
02-Mar-22,21.35,4.18,1.27,16605.95,0.81,-1.13
03-Mar-22,21.21,4.16,1.28,16498.05,-1.13,-0.65
04-Mar-22,20.89,4.09,1.3,16245.35,-0.65,-1.54
07-Mar-22,20.39,4,1.33,15863.15,-1.54,-2.38
08-Mar-22,20.59,4.03,1.31,16013.45,-2.38,0.94
09-Mar-22,21.01,4.12,1.28,16345.35,0.94,2.05
10-Mar-22,21.34,4.18,1.26,16594.9,2.05,1.52
11-Mar-22,21.38,4.19,1.26,16630.45,1.52,0.21
14-Mar-22,21.69,4.25,1.24,16871.3,0.21,1.44
15-Mar-22,21.42,4.2,1.24,16663,1.44,-1.24
16-Mar-22,21.82,4.28,1.22,16975.35,-1.24,1.86
17-Mar-22,22.23,4.36,1.2,17287.05,1.86,1.82
21-Mar-22,22.01,4.31,1.21,17117.6,1.82,-0.99
22-Mar-22,22.26,4.36,1.2,17315.5,-0.99,1.15
23-Mar-22,22.17,4.35,1.19,17245.65,1.15,-0.4
24-Mar-22,22.14,4.34,1.19,17222.75,-0.4,-0.13
25-Mar-22,22.05,4.32,1.19,17153,-0.13,-0.41
28-Mar-22,22.14,4.34,1.19,17222,-0.41,0.4
29-Mar-22,22.27,4.37,1.18,17325.3,0.4,0.6
30-Mar-22,22.5,4.41,1.17,17498.25,0.6,0.99
31-Mar-22,22.92,4.46,1.13,17464.75,0.99,-0.19
01-Apr-22,23.19,4.51,1.12,17670.45,-0.19,1.17
04-Apr-22,23.69,4.61,1.1,18053.4,1.17,2.14
05-Apr-22,23.57,4.59,1.11,17957.4,2.14,-0.53
06-Apr-22,23.37,4.55,1.12,17807.65,-0.53,-0.84
07-Apr-22,23.15,4.51,1.13,17639.55,-0.84,-0.95
08-Apr-22,23.34,4.54,1.11,17784.35,-0.95,0.82
11-Apr-22,23.2,4.52,1.12,17674.95,0.82,-0.62
12-Apr-22,23.01,4.48,1.13,17530.3,-0.62,-0.82
13-Apr-22,22.92,4.46,1.13,17475.65,-0.82,-0.31
18-Apr-22,22.53,4.39,1.15,17173.65,-0.31,-1.74
19-Apr-22,22.1,4.33,1.16,16958.65,-1.74,-1.26
20-Apr-22,22.33,4.38,1.15,17136.55,-1.26,1.04
21-Apr-22,22.67,4.44,1.14,17392.6,1.04,1.48
22-Apr-22,22.38,4.39,1.15,17171.95,1.48,-1.28
25-Apr-22,22.03,4.33,1.17,16953.95,-1.28,-1.28
26-Apr-22,22.17,4.39,1.15,17200.8,-1.28,1.45
27-Apr-22,21.96,4.35,1.16,17038.4,1.45,-0.95
28-Apr-22,22.2,4.41,1.17,17245.05,-0.95,1.21
29-Apr-22,22.01,4.37,1.16,17102.55,1.21,-0.83
02-May-22,21.87,4.36,1.16,17069.1,-0.83,-0.2
04-May-22,21.31,4.26,1.19,16677.6,-0.2,-2.32
05-May-22,21.24,4.26,1.19,16682.65,-2.32,0.03
06-May-22,20.89,4.19,1.21,16411.25,0.03,-1.64
09-May-22,20.75,4.17,1.21,16301.85,-1.64,-0.67
10-May-22,20.42,4.15,1.22,16240.05,-0.67,-0.38
11-May-22,20.32,4.13,1.22,16167.1,-0.38,-0.45
12-May-22,19.87,4.04,1.35,15808,-0.45,-2.25
13-May-22,19.83,4.03,1.35,15782.15,-2.25,-0.16
16-May-22,19.72,4.05,1.35,15842.3,-0.16,0.38
17-May-22,20.12,4.15,1.31,16259.3,0.38,2.6
18-May-22,20.09,4.15,1.31,16240.3,2.6,-0.12
19-May-22,19.51,4.04,1.35,15809.4,-0.12,-2.69
20-May-22,20.05,4.16,1.31,16266.15,-2.69,2.85
23-May-22,20.01,4.14,1.32,16214.7,2.85,-0.32
24-May-22,19.87,4.12,1.32,16125.15,-0.32,-0.55
25-May-22,19.74,4.09,1.38,16025.8,-0.55,-0.62
26-May-22,19.88,4.13,1.44,16170.15,-0.62,0.9
27-May-22,20.27,4.18,1.43,16352.45,0.9,1.12
30-May-22,20.65,4.26,1.4,16661.4,1.12,1.87
31-May-22,20.44,4.24,1.43,16584.55,1.87,-0.46
01-Jun-22,20.45,4.22,1.44,16522.75,-0.46,-0.37
02-Jun-22,20.58,4.25,1.43,16628,-0.37,0.63
03-Jun-22,20.52,4.24,1.41,16584.3,0.63,-0.26
06-Jun-22,20.5,4.24,1.41,16569.55,-0.26,-0.09
07-Jun-22,20.31,4.2,1.43,16416.35,-0.09,-0.93
08-Jun-22,20.24,4.18,1.43,16356.25,-0.93,-0.37
09-Jun-22,20.39,4.21,1.43,16478.1,-0.37,0.74
10-Jun-22,20.05,4.14,1.38,16201.8,0.74,-1.69
13-Jun-22,19.52,4.03,1.38,15774.4,-1.69,-2.67
14-Jun-22,19.47,4.02,1.36,15732.1,-2.67,-0.27
15-Jun-22,19.42,4.01,1.45,15692.15,-0.27,-0.25
16-Jun-22,19.01,3.93,1.48,15360.6,-0.25,-2.14
17-Jun-22,18.92,3.91,1.46,15293.5,-2.14,-0.44
20-Jun-22,18.99,3.92,1.46,15350.15,-0.44,0.37
21-Jun-22,19.35,4,1.44,15638.8,0.37,1.86
22-Jun-22,19.07,3.94,1.46,15413.3,1.86,-1.45
23-Jun-22,19.25,3.98,1.44,15556.65,-1.45,0.93
24-Jun-22,19.43,4.01,1.43,15699.25,0.93,0.91
27-Jun-22,19.59,4.05,1.41,15832.05,0.91,0.84
28-Jun-22,19.61,4.05,1.41,15850.2,0.84,0.11
29-Jun-22,19.55,4.04,1.38,15799.1,0.11,-0.32
30-Jun-22,19.5,4.03,1.41,15780.25,-0.32,-0.12
